"Cluster ID","URL","Page type","Parent hub","Primary keyword hypothesis","Secondary keyword hypotheses","Search intent","Funnel stage","Conversion role","Geographic modifier","Product/category modifier","Condition modifier","Existing title","Existing H1","Competing URLs","Cannibalization risk","Current internal links in","Current internal links out","Recommended action","Evidence status","GSC validation required","Priority","Notes"
"CONTENT","/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","Article","/บทความ","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร | WINNER IT","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","low/unverified","6","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","Article","/บทความ","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร | WINNER IT","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","low/unverified","4","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","Article","/บทความ","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง | WINNER IT","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","","low/unverified","4","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","Article","/บทความ","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน | WINNER IT","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","","low/unverified","2","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","Article","/บทความ","วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว | WINNER IT","วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","low/unverified","10","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","Article","/บทความ","วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","วิธีลบข้อมูลก่อนขายคอมพิวเตอร์ | WINNER IT","วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | /บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad | /บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","low/unverified","28","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","Article","/บทความ","วิธีออกจาก iCloud ก่อนขาย iPhone หรือ iPad","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","วิธีออกจาก iCloud ก่อนขาย iPhone หรือ iPad | WINNER IT","วิธีออกจาก iCloud ก่อนขาย iPhone หรือ iPad","/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์ | /บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","low/unverified","6","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","Article","/บทความ","วิธีออกจากบัญชี Google ก่อนขายโทรศัพท์ Android","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","วิธีออกจากบัญชี Google ก่อนขายโทรศัพท์ Android | WINNER IT","วิธีออกจากบัญชี Google ก่อนขายโทรศัพท์ Android","/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์ | /บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","low/unverified","3","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","Article","/บทความ","วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน | WINNER IT","วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","","low/unverified","3","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","Article","/บทความ","สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร | WINNER IT","สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","low/unverified","3","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","Article","/บทความ","ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย | WINNER IT","ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","","low/unverified","7","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","Article","/บทความ","เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง | WINNER IT","เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","/บทความ","low/unverified","9","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","Article","/บทความ","เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","เตรียมโน๊ตบุ๊คก่อนขายอย่างไร | WINNER IT","เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","low/unverified","10","25","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ","Article hub","/","บทความแนะนำก่อนขายสินค้าไอที","content; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","CONTENT","none","บทความแนะนำก่อนขายสินค้าไอที | WINNER IT","บทความแนะนำก่อนขายสินค้าไอที","/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","low/unverified","88","36","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"SELLER-JOURNEY","/บริการรับซื้อถึงที่โคราช","Seller intent","/รับซื้อสินค้าไอที","บริการรับซื้อถึงที่ โคราช","seller journey; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","SELLER-JOURNEY","none","บริการรับซื้อถึงที่ โคราช นัดรับสินค้าไอที | WINNER IT","บริการรับซื้อถึงที่ โคราช","/วิธีขายสินค้า | /วิธีประเมินราคา | /ส่งสินค้าไอทีมาประเมิน","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"B2B","/บริษัทปิดกิจการขายอุปกรณ์ไอที","B2B/bulk","/รับซื้อสินค้าไอทียกล็อต","บริษัทปิดกิจการขายอุปกรณ์ไอที","b2b; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","B2B","none","บริษัทปิดกิจการขายอุปกรณ์ไอที โคราช | WINNER IT","บริษัทปิดกิจการขายอุปกรณ์ไอที","/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช | /รับซื้ออุปกรณ์สำนักงาน","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/ด่านขุนทด","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอด่านขุนทด","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีด่านขุนทด อำเภอด่านขุนทด | WINNER IT","รับซื้อไอทีอำเภอด่านขุนทด","/พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","candidate","1","23","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/บัวใหญ่","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอบัวใหญ่","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีบัวใหญ่ อำเภอบัวใหญ่ | WINNER IT","รับซื้อไอทีอำเภอบัวใหญ่","/พื้นที่/ด่านขุนทด | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","candidate","1","22","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/ปักธงชัย","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอปักธงชัย","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีปักธงชัย อำเภอปักธงชัย | WINNER IT","รับซื้อไอทีอำเภอปักธงชัย","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","candidate","1","23","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/ปากช่อง","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอปากช่อง","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีปากช่อง อำเภอปากช่อง | WINNER IT","รับซื้อไอทีอำเภอปากช่อง","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","low/unverified","1","22","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/พิมาย","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอพิมาย","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีพิมาย อำเภอพิมาย | WINNER IT","รับซื้อไอทีอำเภอพิมาย","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","candidate","1","22","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอที มทส. มหาวิทยาลัยเทคโนโลยีสุรนารี","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอที มทส. มหาวิทยาลัยเทคโนโลยีสุรนารี | WINNER IT","รับซื้อไอที มทส. มหาวิทยาลัยเทคโนโลยีสุรนารี","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","low/unverified","1","23","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/สีคิ้ว","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอสีคิ้ว","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีสีคิ้ว อำเภอสีคิ้ว | WINNER IT","รับซื้อไอทีอำเภอสีคิ้ว","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","candidate","1","23","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/สูงเนิน","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอสูงเนิน","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีสูงเนิน อำเภอสูงเนิน | WINNER IT","รับซื้อไอทีอำเภอสูงเนิน","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","candidate","1","22","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/เมืองนครราชสีมา","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีเขตเมืองนครราชสีมา","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีเมืองนครราชสีมา | WINNER IT","รับซื้อไอทีเขตเมืองนครราชสีมา","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/โชคชัย | /พื้นที่/โนนสูง","low/unverified","88","23","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/โชคชัย","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอโชคชัย","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีโชคชัย อำเภอโชคชัย | WINNER IT","รับซื้อไอทีอำเภอโชคชัย","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โนนสูง","low/unverified","1","22","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"LOCATION","/พื้นที่/โนนสูง","Location","/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีอำเภอโนนสูง","location; local transactional","Local transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","LOCATION","none","รับซื้อไอทีโนนสูง อำเภอโนนสูง | WINNER IT","รับซื้อไอทีอำเภอโนนสูง","/พื้นที่/ด่านขุนทด | /พื้นที่/บัวใหญ่ | /พื้นที่/ปักธงชัย | /พื้นที่/ปากช่อง | /พื้นที่/พิมาย | /พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี | /พื้นที่/สีคิ้ว | /พื้นที่/สูงเนิน | /พื้นที่/เมืองนครราชสีมา | /พื้นที่/โชคชัย","candidate","1","22","Retain; validate query ownership before structural action","Business evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อ-apple-watch-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อ Apple Watch โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อ Apple Watch โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT","รับซื้อ Apple Watch โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","1","25","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อ-cpu-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อ CPU โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อ CPU โคราช ประเมินซีพียู Intel และ AMD มือสอง | WINNER IT","รับซื้อ CPU โคราช","/รับซื้อ-server-network-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช | /รับซื้อแรม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
