"Cluster","URL A","URL B","Candidate Type","Intent Relationship","Title similarity","H1 similarity","Raw Body Similarity","Boilerplate-adjusted Similarity","FAQ Similarity","Shared Product Entity","Shared Condition Entity","Shared Geographic Entity","Same Parent Hub","Internal anchor conflict","Query Evidence Available","Decision Eligible","Review Priority","Risk","Recommended winner","Recommended action","Requires GSC","Reason","Validation method"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.857","0.8","0.724","0.623","0.716","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.724; adjusted=0.623; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.543","0.453","0.575","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.543; adjusted=0.453; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.738","0.68","0.81","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.738; adjusted=0.68; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.844","0.842","0.779","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.844; adjusted=0.842; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/ปักธงชัย","Location template similarity","template-only","0.857","0.8","0.591","0.51","0.723","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.591; adjusted=0.51; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/ปากช่อง","Location template similarity","template-only","0.857","0.8","0.572","0.509","0.674","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.572; adjusted=0.509; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/พิมาย","Location template similarity","template-only","0.857","0.8","0.608","0.512","0.659","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.608; adjusted=0.512; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Location template similarity","template-only","0.588","0.462","0.558","0.448","0.667","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.558; adjusted=0.448; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/สีคิ้ว","Location template similarity","template-only","0.857","0.8","0.803","0.751","0.736","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.803; adjusted=0.751; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.857","0.8","0.589","0.506","0.723","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.589; adjusted=0.506; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.503","0.43","0.562","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.503; adjusted=0.43; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.682","0.638","0.691","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.682; adjusted=0.638; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/บัวใหญ่","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.639","0.534","0.759","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.639; adjusted=0.534; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/ปากช่อง","Location template similarity","template-only","0.857","0.8","0.568","0.513","0.659","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.568; adjusted=0.513; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/พิมาย","Location template similarity","template-only","0.857","0.8","0.76","0.705","0.786","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.76; adjusted=0.705; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Location template similarity","template-only","0.588","0.462","0.56","0.492","0.651","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.56; adjusted=0.492; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/สีคิ้ว","Location template similarity","template-only","0.857","0.8","0.575","0.504","0.535","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.575; adjusted=0.504; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.857","0.8","0.606","0.533","0.732","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.606; adjusted=0.533; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.529","0.464","0.614","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.529; adjusted=0.464; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.648","0.604","0.625","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.648; adjusted=0.604; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปักธงชัย","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.615","0.536","0.744","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.615; adjusted=0.536; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/พิมาย","Location template similarity","template-only","0.857","0.8","0.598","0.526","0.667","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.598; adjusted=0.526; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Location template similarity","template-only","0.588","0.462","0.631","0.563","0.674","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.631; adjusted=0.563; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/สีคิ้ว","Location template similarity","template-only","0.857","0.8","0.614","0.568","0.568","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.614; adjusted=0.568; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.857","0.8","0.677","0.618","0.681","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.677; adjusted=0.618; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.646","0.602","0.515","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.646; adjusted=0.602; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.606","0.539","0.584","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.606; adjusted=0.539; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ปากช่อง","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.598","0.519","0.713","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.598; adjusted=0.519; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/พิมาย","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Location template similarity","template-only","0.588","0.462","0.582","0.491","0.636","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.582; adjusted=0.491; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/พิมาย","/พื้นที่/สีคิ้ว","Location template similarity","template-only","0.857","0.8","0.582","0.486","0.523","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.582; adjusted=0.486; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
