route,expected_status,actual_status,indexability,sitemap_expected,title_match,description_match,h1_count,canonical_match,robots_match,schema_valid,result,findings
/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บริการรับซื้อถึงที่โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บริษัทปิดกิจการขายอุปกรณ์ไอที,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/ด่านขุนทด,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/บัวใหญ่,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/ปักธงชัย,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/ปากช่อง,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/พิมาย,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/สีคิ้ว,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/สูงเนิน,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/เมืองนครราชสีมา,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/โชคชัย,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/พื้นที่/โนนสูง,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-apple-watch-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-cpu-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-imac-mac-mini-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-ipad-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-iphone-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-macbook-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-nintendo-switch-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-playstation-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-server-network-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อ-ssd-hdd-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อกล้อง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อการ์ดจอ-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อคอมตั้งโต๊ะ-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อคอมบริษัท-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อคอมประกอบ-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อคอมพิวเตอร์-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อคอมเกมมิ่ง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อคอมเก่า-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อจอมอนิเตอร์-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อลำโพง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อสินค้าไอที,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อสินค้าไอทียกล็อต,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อหูฟัง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้ออุปกรณ์-pos-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้ออุปกรณ์สำนักงาน,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อเครื่องปริ้น-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อเครื่องเกม-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อเมนบอร์ด-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อเลนส์กล้อง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อเวิร์กสเตชัน-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อแท็บเล็ต-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อแรม-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์-android-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์-oppo-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์-samsung-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์-vivo-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์จอแตก-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโทรศัพท์มือถือ-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโน๊ตบุ๊ค-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโน๊ตบุ๊คจอแตก-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/รับซื้อโน๊ตบุ๊คเสีย-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/วิธีขายสินค้า,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/วิธีประเมินราคา,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/ส่งสินค้าไอทีมาประเมิน,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/เกี่ยวกับเรา,200,200,indexable,yes,true,true,1,true,true,true,PASS,
