"Source path","Proposed page group","Role","Proposed neutral filename","Alt/caption guidance","Disclosure","Migration gate","Implementation status"
"src/assets/images/products/cameras/camera-collection.webp","Relevant product/service page","Product detail/category card","camera-collection.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/cameras/canon-camera.webp","Relevant product/service page","Product detail/category card","canon-camera.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/cameras/fujifilm-camera.webp","Relevant product/service page","Product detail/category card","fujifilm-camera.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/cameras/insta360-camera.webp","Relevant product/service page","Product detail/category card","insta360-camera.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/cameras/sony-camera.webp","Relevant product/service page","Product detail/category card","sony-camera.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/computers/black-gaming-pc-redacted.webp","Relevant product/service page","Product detail/category card","black-gaming-pc-redacted.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/computers/pink-gaming-pc.webp","Relevant product/service page","Product detail/category card","pink-gaming-pc.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/computers/white-gaming-pc.webp","Relevant product/service page","Product detail/category card","white-gaming-pc.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/consoles/handheld-console.webp","Relevant product/service page","Product detail/category card","handheld-console.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/monitors/msi-monitor.webp","Relevant product/service page","Product detail/category card","msi-monitor.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/notebooks/asus-tuf.webp","Relevant product/service page","Product detail/category card","asus-tuf.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/notebooks/asus-vivobook.webp","Relevant product/service page","Product detail/category card","asus-vivobook.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/notebooks/macbook-air.webp","Relevant product/service page","Product detail/category card","macbook-air.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/notebooks/macbook.webp","Relevant product/service page","Product detail/category card","macbook.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/phones/iphone.webp","Relevant product/service page","Product detail/category card","iphone.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/tablets/ipad.webp","Relevant product/service page","Product detail/category card","ipad.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/tablets/samsung-galaxy-tab.webp","Relevant product/service page","Product detail/category card","samsung-galaxy-tab.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/products/tablets/samsung-tablet-box.webp","Relevant product/service page","Product detail/category card","samsung-tablet-box.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
