"URL","Source file","Search intent","Searcher","What they want","Decision stage","First information needed","Above-fold answer","CTA fit","Relationship","Next action","Intent-match score","Evidence","Recommendation","Requires GSC"
"/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","src/content/articles/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่.md","Informational","ผู้ขายที่กำลังหาข้อมูล","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","Research","กล่อง สายชาร์จ หูฟัง และอุปกรณ์แถมมีผลต่อราคามือสองอย่างไร ข้อมูลที่ควรแจ้งเมื่อส่งประเมิน","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","src/content/articles/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร.md","Informational","ผู้ขายที่กำลังหาข้อมูล","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","Research","คู่มือเตรียมรายการคอมพิวเตอร์หลายเครื่องก่อนขาย ครอบคลุมการจัดทำรายการ ลบข้อมูล เอกสารบริษัท และการประเมินยกล็อต","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","src/content/articles/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร.md","Informational","ผู้ขายที่กำลังหาข้อมูล","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","Research","เอกสารที่ต้องเตรียมเมื่อขายอุปกรณ์ไอทีของบริษัท ครอบคลุมหนังสืออนุมัติ การลบข้อมูล และขั้นตอนประเมินยกล็อต","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","src/content/articles/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง.md","Informational","ผู้ขายที่กำลังหาข้อมูล","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","Research","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง ครอบคลุมการเช็กสภาพ จำนวนชัตเตอร์ ลบข้อมูล และวิธีส่งประเมิน","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","src/content/articles/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน.md","Informational","ผู้ขายที่กำลังหาข้อมูล","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","Research","ปัจจัยที่มีผลต่อราคาการ์ดจอมือสอง ครอบคลุมรุ่น สภาพ การใช้งาน майнинг กล่อง และวิธีส่งประเมิน","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","src/content/articles/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว.md","Informational","ผู้ขายที่กำลังหาข้อมูล","วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","Research","เทคนิคถ่ายรูปสินค้าไอทีก่อนส่งประเมิน ครอบคลุมมุมที่ต้องถ่าย แสง ความชัด และข้อผิดพลาดที่ควรหลีกเลี่ยง","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","src/content/articles/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์.md","Informational","ผู้ขายที่กำลังหาข้อมูล","วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","Research","คู่มือลบข้อมูลส่วนตัวก่อนขายคอมพิวเตอร์ Windows และ Mac ครอบคลุมการสำรองข้อมูล รีเซ็ตเครื่อง และจัดการ SSD","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","src/content/articles/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad.md","Informational","ผู้ขายที่กำลังหาข้อมูล","วิธีออกจาก iCloud ก่อนขาย iPhone หรือ iPad","Research","คู่มือออกจาก iCloud และปิด Find My ก่อนขาย iPhone หรือ iPad ขั้นตอนครบถ้วนเพื่อความปลอดภัยและขายได้ราบรื่น","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","src/content/articles/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android.md","Informational","ผู้ขายที่กำลังหาข้อมูล","วิธีออกจากบัญชี Google ก่อนขายโทรศัพท์ Android","Research","คู่มือออกจากบัญชี Google และรีเซ็ตโทรศัพท์ Android ก่อนขาย ครอบคลุม Samsung OPPO vivo และแบรนด์อื่น","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","src/content/articles/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน.md","Informational","ผู้ขายที่กำลังหาข้อมูล","วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","Research","วิธีเช็กสเปกโน๊ตบุ๊ค Windows และ Mac ก่อนส่งประเมินราคา ครอบคลุม CPU RAM SSD การ์ดจอ และข้อมูลที่ควรแจ้งร้านรับซื้อ","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","src/content/articles/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร.md","Informational","ผู้ขายที่กำลังหาข้อมูล","สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","Research","วิธีประเมินราคาสินค้าไอทีที่เปิดไม่ติด ครอบคลุมข้อมูลที่ต้องแจ้ง รูปที่ต้องถ่าย และข้อจำกัดราคาเบื้องต้น","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","src/content/articles/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย.md","Informational","ผู้ขายที่กำลังหาข้อมูล","ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","Research","คู่มือแพ็กและส่งโน๊ตบุ๊ค โทรศัพท์ ให้ปลอดภัย ครอบคลุมการแพ็กกล่อง กันกระแทก ประกัน และขั้นตอนส่งประเมิน","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","src/content/articles/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง.md","Informational","ผู้ขายที่กำลังหาข้อมูล","เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","Research","คู่มือเช็กราคาสินค้าไอทีก่อนขาย ครอบคลุมปัจจัยที่มีผลต่อราคา วิธีเปรียบเทียบ และข้อควรระวังก่อนตัดสินใจขาย","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","src/content/articles/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร.md","Informational","ผู้ขายที่กำลังหาข้อมูล","เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","Research","คู่มือเตรียมโน๊ตบุ๊คก่อนขาย ครอบคลุมการสำรองข้อมูล ลบบัญชี ถ่ายรูป รวบรวมอุปกรณ์ และสิ่งที่ควรแจ้งร้านรับซื้อ","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ","src/pages/บทความ/index.astro","Informational","ผู้ขายสินค้าไอทีในโคราช","บทความแนะนำก่อนขายสินค้าไอที","Evaluate/contact","รวมบทความวิธีเตรียมขายโน๊ตบุ๊ค โทรศัพท์ คอม และอุปกรณ์ไอทีในโคราช อ่านก่อนส่งประเมินผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/บริการรับซื้อถึงที่โคราช","src/content/services/บริการรับซื้อถึงที่โคราช.md","Seller journey","ผู้ขายสินค้าไอทีในโคราช","บริการรับซื้อถึงที่ โคราช","Evaluate/contact","WINNER IT บริการรับซื้อถึงที่ในโคราช นัดหมายล่วงหน้า ตรวจสินค้าหน้างาน ผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/บริษัทปิดกิจการขายอุปกรณ์ไอที","src/content/services/บริษัทปิดกิจการขายอุปกรณ์ไอที.md","B2B/bulk transactional","องค์กร/ผู้ดูแลทรัพย์สินไอที","บริษัทปิดกิจการขายอุปกรณ์ไอที","Evaluate/contact","WINNER IT รับซื้ออุปกรณ์ IT เมื่อบริษัทปิดกิจการในโคราช asset list เอกสาร นัดรับ ผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/พื้นที่/ด่านขุนทด","src/content/areas/ด่านขุนทด.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอด่านขุนทด","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone คอมพิวเตอร์ในอำเภอด่านขุนทด พื้นที่ที่อยู่อาศัยผสมผสานทางตะวันตกของโคราช เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/บัวใหญ่","src/content/areas/บัวใหญ่.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอบัวใหญ่","Evaluate/contact","รับซื้อโน๊ตบุ๊ค คอมพิวเตอร์ อุปกรณ์สำนักงานในอำเภอบัวใหญ่ พื้นที่โลจิสติกส์ทางตอนเหนือของโคราช เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/ปักธงชัย","src/content/areas/ปักธงชัย.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอปักธงชัย","Evaluate/contact","รับซื้อโน๊ตบุ๊ค คอมพิวเตอร์ อุปกรณ์ไอทีในอำเภอปักธงชัย พื้นที่ผ้าไหมและธุรกิจท่องเที่ยวเชิงวัฒนธรรม เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/ปากช่อง","src/content/areas/ปากช่อง.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอปากช่อง","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone อุปกรณ์ไอทีในอำเภอปากช่อง บ้านพักตากอากาศ วิลล่า และพื้นที่ใกล้เขาใหญ่ เริ่มประเมินผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/พิมาย","src/content/areas/พิมาย.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอพิมาย","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone กล้อง อุปกรณ์ไอทีในอำเภอพิมาย พื้นที่ท่องเที่ยวประวัติศาสตร์และร้านค้าท้องถิ่น เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","src/content/areas/มหาวิทยาลัยเทคโนโลยีสุรนารี.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอที มทส. มหาวิทยาลัยเทคโนโลยีสุรนารี","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone แท็บเล็ตสำหรับนักศึกษาและบุคลากร มทส. เริ่มประเมินผ่าน LINE @buyhub นัดรับตามคิวหรือจัดส่ง","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/สีคิ้ว","src/content/areas/สีคิ้ว.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอสีคิ้ว","Evaluate/contact","รับซื้อโน๊ตบุ๊ค คอมพิวเตอร์ อุปกรณ์สำนักงานในอำเภอสีคิ้ว พื้นที่โลจิสติกส์และคลังสินค้าระหว่างโคราช-กรุงเทพ เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/สูงเนิน","src/content/areas/สูงเนิน.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอสูงเนิน","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone คอมพิวเตอร์ในอำเภอสูงเนิน พื้นที่ที่อยู่อาศัยชานเมืองระหว่างโคราชและเส้นทางปากช่อง เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/เมืองนครราชสีมา","src/content/areas/เมืองนครราชสีมา.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีเขตเมืองนครราชสีมา","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone คอมพิวเตอร์ในเขตเมืองนครราชสีมา สำหรับพนักงานออฟฟิศ นักศึกษา และร้านค้า เริ่มประเมินผ่าน LINE @buyhub นัดรับตามคิวและระยะทาง","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/โชคชัย","src/content/areas/โชคชัย.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอโชคชัย","Evaluate/contact","รับซื้อโน๊ตบุ๊ค คอมพิวเตอร์ อุปกรณ์สำนักงานในอำเภอโชคชัย พื้นที่เกษตรกรรมและสำนักงานฟาร์ม เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/พื้นที่/โนนสูง","src/content/areas/โนนสูง.md","Location appointment","ผู้ขายสินค้าไอทีในโคราช","รับซื้อไอทีอำเภอโนนสูง","Evaluate/contact","รับซื้อโน๊ตบุ๊ค iPhone คอมพิวเตอร์ในอำเภอโนนสูง พื้นที่ที่อยู่อาศัยชุมชนทางตะวันออกของโคราช เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","Yes"
"/รับซื้อ-apple-watch-โคราช","src/content/services/รับซื้อ-apple-watch-โคราช.md","Brand transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ Apple Watch โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","Evaluate/contact","รับซื้อ Apple Watch มือสองในโคราช ตรวจสภาพจอ แบตเตอรี่ และ Activation Lock ก่อนสรุปราคา เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-cpu-โคราช","src/content/services/รับซื้อ-cpu-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ CPU โคราช","Evaluate/contact","รับซื้อ CPU มือสองในโคราช ตรวจสภาพขา pins ประวัติใช้งานและกล่อง ประเมินเบื้องต้นผ่าน LINE @buyhub โดย WINNER IT","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-imac-mac-mini-โคราช","src/content/services/รับซื้อ-imac-mac-mini-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ iMac และ Mac mini โคราช ประเมินผ่าน LINE","Evaluate/contact","รับซื้อ iMac และ Mac mini มือสองในโคราช ตรวจสเปก สภาพจอ และ Apple ID ก่อนสรุปราคา เริ่มผ่าน LINE @buyhub นัดรับตามสะดวก","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-ipad-โคราช","src/content/services/รับซื้อ-ipad-โคราช.md","Brand transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ iPad โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","Evaluate/contact","รับซื้อ iPad มือสองในโคราช ทุกรุ่นที่ใช้งานได้ ตรวจ iCloud สภาพจอ และอุปกรณ์ก่อนสรุปราคา เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-iphone-โคราช","src/content/services/รับซื้อ-iphone-โคราช.md","Brand transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ iPhone โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","Evaluate/contact","รับซื้อ iPhone มือสองในโคราช ประเมินราคาเบื้องต้นผ่าน LINE @buyhub ตรวจสภาพจริงก่อนทำรายการ นัดรับตามคิวในนครราชสีมา","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-macbook-โคราช","src/content/services/รับซื้อ-macbook-โคราช.md","Brand transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ MacBook โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","Evaluate/contact","รับซื้อ MacBook มือสองในโคราช ทุกรุ่น Air และ Pro ตรวจสเปก แบตเตอรี่ และ iCloud ก่อนสรุปราคา เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-nintendo-switch-โคราช","src/content/services/รับซื้อ-nintendo-switch-โคราช.md","Brand transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ Nintendo Switch โคราช","Evaluate/contact","รับซื้อ Nintendo Switch OLED มือสองในโคราช ตรวจจอ Joy-Con drift ประเมินผ่าน LINE @buyhub","no","appropriate","Supports parent hub","Send details via LINE or call","4","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-playstation-โคราช","src/content/services/รับซื้อ-playstation-โคราช.md","Brand transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ PlayStation โคราช","Evaluate/contact","WINNER IT รับซื้อ PlayStation ในโคราช ตรวจเครื่อง จอย แผ่นเกม ประเมินผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-server-network-โคราช","src/content/services/รับซื้อ-server-network-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ Server Network โคราช","Evaluate/contact","WINNER IT รับซื้อ server switch router firewall ในโคราช ประเมินยกชุดหรือรายชิ้น ผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อ-ssd-hdd-โคราช","src/content/services/รับซื้อ-ssd-hdd-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อ SSD HDD โคราช","Evaluate/contact","รับซื้อ SSD NVMe SATA และ HDD ในโคราช ตรวจสุขภาพดิสก์ SMART ความจุ ประเมินผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อกล้อง-โคราช","src/content/services/รับซื้อกล้อง-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อกล้อง โคราช","Evaluate/contact","WINNER IT รับซื้อกล้องในโคราช ตรวจ shutter count เซนเซอร์ mount ปุ่ม จอ viewfinder แบตเตอรี่ ประเมินผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อการ์ดจอ-โคราช","src/content/services/รับซื้อการ์ดจอ-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อการ์ดจอ โคราช","Evaluate/contact","WINNER IT รับซื้อการ์ดจอ NVIDIA และ AMD ในโคราช ตรวจ VRAM สภาพพัดลม ประวัติใช้งานและกล่อง ประเมินเบื้องต้นผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อคอมตั้งโต๊ะ-โคราช","src/content/services/รับซื้อคอมตั้งโต๊ะ-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อคอมตั้งโต๊ะ โคราช ประเมินผ่าน LINE","Evaluate/contact","รับซื้อคอมตั้งโต๊ะมือสองในโคราช Dell HP Lenovo ตรวจสเปก สภาพเครื่อง และข้อมูลส่วนตัวก่อนสรุปราคา เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อคอมบริษัท-โคราช","src/content/services/รับซื้อคอมบริษัท-โคราช.md","B2B/bulk transactional","องค์กร/ผู้ดูแลทรัพย์สินไอที","รับซื้อคอมบริษัท โคราช","Evaluate/contact","WINNER IT รับซื้อคอมบริษัทในโคราช รายการ serial ลบข้อมูล เอกสาร นัดรับและขนส่ง ผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/รับซื้อคอมประกอบ-โคราช","src/content/services/รับซื้อคอมประกอบ-โคราช.md","Product transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อคอมประกอบ โคราช ตรวจสเปกจริง ประเมินผ่าน LINE","Evaluate/contact","รับซื้อคอมประกอบมือสองในโคราช ตรวจสเปกทุกชิ้นส่วน CPU RAM การ์ดจอ SSD ก่อนสรุปราคา เริ่มผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
