"Source path","SHA-256","Category","Real/AI","Location risk","Privacy risk","Serial/plate/document risk","Exact duplicate count","Decision","Required edit","Disclosure","Evidence"
"docs/audits/screenshots/batch-5-1/after/blog-index-430-after.png","e6cb914822168f1c2786b39e86e98df06288535bdabc1f9908781d8a3fbec2f3","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-index-768-after.png","edd0e3b9fb31657620277d6f4c7234b415f8f767cd5d0875d831545d5e014db5","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-1024-after.png","c13c3f49198f20f6d4e731ddfdbefd099042f31a2086894be66c4ca5e1bbb9d5","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-1440-after.png","6b4bbf531f6b7a414bceae967ea1f573382fad290d78273da85632a288020577","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-1920-after.png","cc9eb3d6371e2da7fa48b2759fab5238060a1d77a08d4eb4065db54f848a54af","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-360-after.png","f0689a152a68281a6e256d10c5949ceeb4b483669258cd2796689bc86074c422","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-390-after.png","9660fbe1f427cd77bb9d5623238b53e2def1719fdec14640345a957f597c37da","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-430-after.png","3c2a9a49cecc24f0295d89c090e79571efc87a34ed79b623f5ba52c8594de128","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/contact-768-after.png","ccbbbe13e87e7be8e53a75f1db08f1f4befb6d39178e26ad94074bffad516915","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/header-1024-after.png","6c845cb2754d9a507b09ddc176084e08caae7940dcf4f7eba5315a25fc492eca","QA/documentation","Screenshot","not detected","not detected","not detected","3","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/header-768-after.png","20eee53d996bc51a19a52e0d9bca62cd95b2f835a1c02e011e82602982532310","QA/documentation","Screenshot","not detected","not detected","not detected","3","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-1024-after.png","6c845cb2754d9a507b09ddc176084e08caae7940dcf4f7eba5315a25fc492eca","QA/documentation","Screenshot","not detected","not detected","not detected","3","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-1440-after.png","e0a8d9a1fbd264d543ccd214504f40b9e57c13e92bdc3d3ccd8b0fac9aa6a4fa","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-1920-after.png","1cc43b56a5f300039ced555a8876348dd9d7646d7bf4b2c8b701cca547e9ec5c","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-360-after.png","7c67870965f998442df654b90dfe9900d7b8419b4e82cf06864ec546c2495cf7","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-390-after.png","a0a319088365aa2bc855aa54a65d140c92d420ac054c7f31362f00241c00d3a7","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-430-after.png","8095510a3ebbe89e2b5b3fcf475518e2817fb1f39f6f7ad12c373ca5ba2357b4","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/homepage-768-after.png","20eee53d996bc51a19a52e0d9bca62cd95b2f835a1c02e011e82602982532310","QA/documentation","Screenshot","not detected","not detected","not detected","3","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/local-page-1024-after.png","5af1bf475763a32cf8a0fb971ceb78c7c156f5d2a3c951bf633e8f38d8d4bb2d","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/local-page-1440-after.png","7f29c2117fb6aa307a80dafcf7c4cc2720d9ec01b5c6282c25c3957c3bd0bc5a","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/local-page-1920-after.png","629e730ef02a8dc04d1337cfe2c785144a3e33d180d4e099256f7f681d42500d","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/local-page-360-after.png","45849695ff38276c584260c3d96106e315c6b9289bb6c232bf4dea77811c03a3","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/local-page-390-after.png","889f6b8b0020a48ba1d1bb682240f9866dd421f3580a01925b983992bd2322a4","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/local-page-430-after.png","89edd5ee921d4228e6e1cdc3804273ce8a80d27c401fe65bf9a48ab727972c37","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/local-page-768-after.png","4901aa1e4d306823c03b4947e46db42850ecfeff823ca5d88ffca8fa2285c6f0","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-5-1/after/notebook-1024-after.png","2a16182a2ebe491a8a2ca0633fc173816f28d6563bfb8f131d21075cec791588","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/notebook-1440-after.png","d0182bbf4e25a44746c3ea45217b8d985c02c2e815596cbec671ddabef19d136","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/notebook-1920-after.png","764ea720dc78a8dc9a247e93e425bf70a93b995453f478da3640103e8c6aacfa","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/notebook-360-after.png","c1a96701f70fe3aee083dd70a3963b06bca724c69d5d5688a9971b4a5ca9ef6a","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/notebook-390-after.png","17aaaefb53501ce2865ac9533315047ecc62fe38651666c659c89e47d366052a","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/notebook-430-after.png","1e2a70577e2c6d48f52939c4ef7ef9abe5b3e0894b674206213466ef9ece3dd1","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/notebook-768-after.png","9ca8591c47709f9612e9b3f9e402cd983ad0dc24e5a061f80fd76a34e6734837","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-1024x768-after.png","0200f8ad72a6deda6b05500b1bc4085ad30ebdfaeafe4c0191e52396b458013f","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-1440x900-after.png","aa2f5b7e96a4cf413208a1651cff382244245c3b1924e011330c172731777e69","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-1920x1080-after.png","e74fdd3ea6d1e56d05488060fd10775a3a357822c1e84a037d723ad8e7eebd0e","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-360x800-after.png","0a968f36859eb4ceb99ed37c130552d0bf0bd1ed38fc65bf728ccdf3af86cb1d","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-390x844-after.png","c1ad48dd68b127d5fb875e695d01b96eda40846bbc0e031f08b921a24962d35d","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-430x932-after.png","82877dd285337fbc8dbc566b4aa7288af0a67defc65be0d8f84cca7e4a8fb751","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/404-768x1024-after.png","35debae4834eadc8e7480d146a3bd5a9f04b63f5f91bb9175720d64d8c5bdf81","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-1024x768-after.png","0b09b18295bc5b1e45fc3371621d948f68d2a23fef205595bfa7d471b242d279","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-1440x900-after.png","29a4e902a2f7d792c64a3112607d86b890670155f79d85cbd31b1f7d02027371","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-1920x1080-after.png","1104ecd8f07f3cb2257f83232b2746977b804649c2f1ddd4c9c971b9afb31767","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-360x800-after.png","efb06f04f3eaa31432fc0dab9f0163c7b6128c17f547f9ba4473a74f097ae981","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-390x844-after.png","c3f3a6eb1ae7b489d650def7b703fcd759c4580f49503f7ff4b84064468bae15","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-430x932-after.png","cde343598c729cd5a8fced5d66dce603d25b470b360939871e679f48cc6a3086","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5/after/blog-article-768x1024-after.png","6b87bb7b000157e44ac09399ca948dfa622dc9264929b7b240b45e3a130024ba","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
