url_path,status,word_count,action,priority,primary_issue,notes
"/รับซื้อคอมบริษัท-โคราช",200,1345,Keep,P3,"Meets current intent; maintain","รับซื้อคอมบริษัท โคราช รับซื้อ IT Asset องค์กร | WINNER IT"
"/รับซื้อคอมประกอบ-โคราช",200,1852,Keep,P3,"Meets current intent; maintain","รับซื้อคอมประกอบ โคราช | ตรวจสเปกจริง ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อคอมพิวเตอร์-โคราช",200,1882,Keep,P3,"Meets current intent; maintain","รับซื้อคอมพิวเตอร์ โคราช | ตั้งโต๊ะ ประกอบ เกมมิ่ง | WINNER IT"
"/รับซื้อคอมเกมมิ่ง-โคราช",200,1892,Keep,P3,"Meets current intent; maintain","รับซื้อคอมเกมมิ่ง โคราช | ตรวจการ์ดจอ ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อคอมเก่า-โคราช",200,1207,Keep,P3,"Meets current intent; maintain","รับซื้อคอมเก่า โคราช คอมตั้งโต๊ะรุ่นเก่า | WINNER IT"
"/รับซื้อจอมอนิเตอร์-โคราช",200,1272,Keep,P3,"Meets current intent; maintain","รับซื้อจอมอนิเตอร์ โคราช จอคอมและจอเกมมิ่งมือสอง | WINNER IT"
"/รับซื้อลำโพง-โคราช",200,1206,Keep,P3,"Meets current intent; maintain","รับซื้อลำโพง โคราช ลำโพงบluetooth และลำโพงมือสอง | WINNER IT"
"/รับซื้อสินค้าไอที",200,1502,Keep,P3,"Meets current intent; maintain","รับซื้อสินค้าไอที โคราช บริการรับซื้อ IT ครบวงจร | WINNER IT"
"/รับซื้อสินค้าไอทียกล็อต",200,1210,Keep,P3,"Meets current intent; maintain","รับซื้อสินค้าไอทียกล็อต โคราช | WINNER IT"
"/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช",200,1200,Keep,P3,"Meets current intent; maintain","รับซื้อสินค้าไอทีไม่มีอุปกรณ์ โคราช | WINNER IT"
"/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช",200,1191,Keep,P3,"Meets current intent; maintain","รับซื้อสินค้าไอทีไม่ได้ใช้งาน โคราช | WINNER IT"
"/รับซื้อหูฟัง-โคราช",200,1197,Keep,P3,"Meets current intent; maintain","รับซื้อหูฟัง โคราช หูฟังไร้สายและเกมมิ่งมือสอง | WINNER IT"
"/รับซื้ออุปกรณ์-pos-โคราช",200,1193,Keep,P3,"Meets current intent; maintain","รับซื้ออุปกรณ์ POS โคราช เครื่องรับเงินและระบบขาย | WINNER IT"
"/รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช",200,1274,Keep,P3,"Meets current intent; maintain","รับซื้ออุปกรณ์คอมพิวเตอร์ โคราช อุปกรณ์เสริมและพาร์ท | WINNER IT"
"/รับซื้ออุปกรณ์สำนักงาน",200,1181,Keep,P3,"Meets current intent; maintain","รับซื้ออุปกรณ์สำนักงาน โคราช | WINNER IT"
"/รับซื้อเครื่องปริ้น-โคราช",200,1200,Keep,P3,"Meets current intent; maintain","รับซื้อเครื่องปริ้น โคราช เครื่องพิมพ์สำนักงานมือสอง | WINNER IT"
"/รับซื้อเครื่องเกม-โคราช",200,1204,Keep,P3,"Meets current intent; maintain","รับซื้อเครื่องเกม โคราช คอนโซลและอุปกรณ์เกมมิ่ง | WINNER IT"
"/รับซื้อเมนบอร์ด-โคราช",200,1351,Keep,P3,"Meets current intent; maintain","รับซื้อเมนบอร์ด โคราช ประเมิน Mainboard Intel AMD มือสอง | WINNER IT"
"/รับซื้อเลนส์กล้อง-โคราช",200,1238,Keep,P3,"Meets current intent; maintain","รับซื้อเลนส์กล้อง โคราช เลนส์ Canon Sony Nikon มือสอง | WINNER IT"
"/รับซื้อเวิร์กสเตชัน-โคราช",200,1910,Keep,P3,"Meets current intent; maintain","รับซื้อเวิร์กสเตชัน โคราช | งานกราฟิก ตัดต่อ ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อแท็บเล็ต-โคราช",200,1894,Keep,P3,"Meets current intent; maintain","รับซื้อแท็บเล็ต โคราช | iPad Samsung ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อแรม-โคราช",200,1318,Keep,P3,"Meets current intent; maintain","รับซื้อแรม โคราช RAM DDR4 DDR5 มือสอง | WINNER IT"
"/รับซื้อโทรศัพท์-android-โคราช",200,1846,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์ Android โคราช | ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโทรศัพท์-oppo-โคราช",200,1819,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์ OPPO โคราช | ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโทรศัพท์-samsung-โคราช",200,1888,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์ Samsung โคราช | Galaxy ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโทรศัพท์-vivo-โคราช",200,1785,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์ vivo โคราช | ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช",200,1814,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์ Xiaomi Redmi POCO โคราช | ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโทรศัพท์จอแตก-โคราช",200,1186,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์จอแตก โคราช | WINNER IT"
"/รับซื้อโทรศัพท์มือถือ-โคราช",200,1975,Keep,P3,"Meets current intent; maintain","รับซื้อโทรศัพท์มือถือ โคราช | ทุกยี่ห้อ ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโน๊ตบุ๊ค-โคราช",200,1926,Keep,P3,"Meets current intent; maintain","รับซื้อโน๊ตบุ๊ค โคราช | ทุกยี่ห้อ ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโน๊ตบุ๊คจอแตก-โคราช",200,1206,Keep,P3,"Meets current intent; maintain","รับซื้อโน๊ตบุ๊คจอแตก โคราช | WINNER IT"
"/รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช",200,1917,Keep,P3,"Meets current intent; maintain","รับซื้อโน๊ตบุ๊คเกมมิ่ง โคราช | ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช",200,1226,Keep,P3,"Meets current intent; maintain","รับซื้อโน๊ตบุ๊คเปิดไม่ติด โคราช | WINNER IT"
"/รับซื้อโน๊ตบุ๊คเสีย-โคราช",200,1346,Keep,P3,"Meets current intent; maintain","รับซื้อโน๊ตบุ๊คเสีย โคราช ประเมินโน๊ตบุ๊คอาการเสีย | WINNER IT"
"/วิธีขายสินค้า",200,1263,Keep,P3,"Meets current intent; maintain","วิธีขายสินค้าไอที โคราช ขั้นตอนขายกับ WINNER IT"
"/วิธีประเมินราคา",200,1278,Keep,P3,"Meets current intent; maintain","วิธีประเมินราคาสินค้าไอที โคราช | WINNER IT"
"/ส่งสินค้าไอทีมาประเมิน",200,1241,Keep,P3,"Meets current intent; maintain","ส่งสินค้าไอทีมาประเมิน โคราช | WINNER IT"
"/เกี่ยวกับเรา",200,158,Rewrite,P1,"Entity/trust alignment with Ubon HQ brief","เกี่ยวกับเรา | WINNER IT"
