finding_id,severity,category,url_or_file,evidence,impact,root_cause,recommendation,effort,expected_impact,test_after_fix
F-021,P3,UX,CTA repetition,Multiple identical LINE CTAs per page,Mild fatigue,Aggressive CRO pattern,Vary labels; keep sticky,S,Low,User test mobile scroll
F-022,P3,A11y,keyboard/contrast,Full a11y pass NOT PROVEN,Unknown WCAG gaps,Audit scope limited,Run axe/keyboard pass,M,Low,Critical a11y issues=0
F-023,P3,Tech,PWA manifest,Manifest NOT PROVEN,Minor,Not required for SEO,Optional web manifest,S,Low,manifest linked if added
F-024,P3,Content,author bylines,Organization-only authors,Weaker Experience signals,No person entities,Add editor/ops reviewer where real,S,Low,Article shows reviewer name
F-025,P3,Ops,untracked audit scripts,scripts/gap-audit-*.ts untracked,Process clutter,Audit tooling not committed,Decide keep in repo or gitignore after review,S,Low,Clean git status policy
F-026,P3,Visual QA,tablet viewport,No 768 screenshots,Tablet layout NOT PROVEN,Capture matrix limited,Add tablet screenshots next audit,S,Low,768 captures archived
F-027,P3,Dependencies,npm audit,Not run this session,Unknown CVE exposure,Scope limit,Run npm audit in CI,S,Low,High vulns triaged
F-028,P3,Indexing ops,legacy URLs,GSC 404 legacy list NOT PROVEN,Possible missed redirects,No coverage export,Export GSC Not Found; add redirects as needed,M,Medium,Top legacy 404s redirected
O-001,Opportunity,Content,/ตัวอย่างช่วงราคารับซื้อ,Competitor price tables,Higher conversion intent coverage,Missing first-party ranges,Create dated ranges with disclaimer,M,High,Page indexed; CTA clicks up
O-002,Opportunity,Content,ขายขาด vs ฝากขาย,Competitor consign angles,Capture alternate intent IF service real,Service not documented on this domain,Create only with real process,M,Medium,No false service claims
O-003,Opportunity,CRO,valuation form MVP,LINE-only funnel,Recover non-LINE users,Design choice,Build form + spam protection,L,High,Successful submissions tracked
O-004,Opportunity,E-E-A-T,case studies,No first-party cases,GEO differentiation,Assets not written,Publish anonymized real cases,M,Medium,2-3 cases live
O-005,Opportunity,AEO,comparison tables,Limited tables,Snippet eligibility,Prose-heavy pages,Add compare sell-in-store vs ship vs pickup,S,Medium,Table present on how-to page
O-006,Opportunity,Internal linking,topic clusters,Cluster incomplete,Topical authority,Growth stage,Systematically link device+condition+article triads,M,Medium,Cluster map documented
O-007,Opportunity,Local,GBP optimization,GBP access NOT PROVEN,Maps pack,Off-site asset,Complete GBP services/photos/Q&A,M,High,GBP complete checklist
O-008,Opportunity,Content,Ubon service clarity page,HQ not on domain,Entity clarity,Pending verified address,After NAP verified, dedicated store page,M,High,No doorway provinces auto-created
O-009,Opportunity,Tech,AI bot policy docs,Allow-all only,Governance,No explicit AI policy,Document intentional AI crawl policy,S,Low,Policy page or robots comments
O-010,Opportunity,CRO,photo examples UI,Checklist text exists; visual examples limited,Better submission quality,Text-only guidance,Add example photo grid,S,Medium,Examples on valuation page
O-011,Opportunity,Content,broken device cluster,Pages exist; deepen,High-intent damaged device queries,Depth variance,Expand unique diagnostics tips,M,Medium,Unique sections per condition page
O-012,Opportunity,Analytics,scroll/404 events,Absent,Funnel diagnosis,No tag manager,Add after GA foundation,S,Low,Events visible in GA4
O-013,Opportunity,Security,rate limit forms,N/A until form,Spam resilience,No form yet,Turnstile/hCaptcha on form launch,S,Medium,Spam submissions blocked
O-014,Opportunity,Content,cookie + privacy deepen,Privacy exists; thin legal siblings,Trust/compliance,Minimal legal copy,Counsel-approved expansion,M,Low,Pages updated
O-015,Opportunity,GEO,sameAs social entities,Organization schema lacks sameAs,Entity graph,Not implemented,Add sameAs for LINE/FB/GBP when URLs confirmed,S,Medium,schema sameAs populated
O-016,Opportunity,Performance,third-party budget,Currently clean,Protect INP when tags added,Future risk,Tag governance checklist,S,Medium,INP remains Good after tags
O-017,Opportunity,Content,how to verify seller legitimacy,Missing educational trust page,Differentiator vs shady buyers,Not written,Publish checklist aligned to real process,M,Medium,Article live + internal links
O-018,Opportunity,CRO,response-time SLA copy,Avoid overclaim,Expectation setting,No verified SLA published,State realistic hours only if true,S,Low,No false instant claims
